# 臺南市各行政區人口（近似值，約 2023 年量級，單位：人）
# ⚠ 這是近似值，供 demo 與重力模型相對權重使用。正式論文請替換為內政部戶政司
#    或臺南市政府民政局的官方月報精確數據（同欄位格式即可）。
# 欄位：town_name,population（以 # 開頭的行會被忽略）
town_name,population
中西區,77000
東區,184000
南區,122000
北區,127000
安平區,67000
安南區,191000
永康區,437000
歸仁區,68000
新化區,43000
左鎮區,4400
玉井區,13000
楠西區,8500
南化區,8000
仁德區,76000
關廟區,33000
龍崎區,3500
官田區,21000
麻豆區,43000
佳里區,59000
西港區,24000
七股區,21000
將軍區,18000
學甲區,25000
北門區,10000
新營區,76000
後壁區,22000
白河區,27000
東山區,20000
六甲區,21000
下營區,22000
柳營區,21000
鹽水區,24000
善化區,50000
大內區,8500
山上區,7000
新市區,38000
安定區,30000
